SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2001264N21126,LEKIMA,2001-09-23 06:00:00,19.3,122.5,102,45.0,991.0,120.0,80.0,80.0,120.0,30.0,2
2001264N21126,LEKIMA,2001-09-23 09:00:00,19.3,122.3,100,50.0,988.0,120.0,80.0,80.0,120.0,30.0,2
2001264N21126,LEKIMA,2001-09-23 12:00:00,19.3,122.1,100,55.0,984.0,120.0,80.0,80.0,120.0,30.0,3
2001264N21126,LEKIMA,2001-09-23 15:00:00,19.3,121.9,102,60.0,980.0,120.0,80.0,80.0,120.0,30.0,3
2001264N21126,LEKIMA,2001-09-23 18:00:00,19.4,121.8,109,65.0,976.0,120.0,80.0,80.0,120.0,30.0,3
2001264N21126,LEKIMA,2001-09-23 21:00:00,19.5,121.7,116,65.0,976.0,120.0,80.0,80.0,120.0,30.0,3
2001264N21126,LEKIMA,2001-09-24 00:00:00,19.6,121.6,124,65.0,976.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 03:00:00,19.7,121.6,135,70.0,972.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 06:00:00,19.8,121.5,145,75.0,967.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 09:00:00,19.9,121.6,158,75.0,967.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 12:00:00,20.0,121.7,170,75.0,967.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 15:00:00,20.0,121.7,170,73.0,970.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 18:00:00,20.1,121.8,183,70.0,972.0,120.0,80.0,80.0,120.0,30.0,4
2001264N21126,LEKIMA,2001-09-24 21:00:00,20.2,121.8,194,73.0,970.0,120.0,100.0,85.0,120.0,23.0,4
2001264N21126,LEKIMA,2001-09-25 00:00:00,20.4,121.9,197,75.0,967.0,120.0,120.0,90.0,120.0,15.0,4
2001264N21126,LEKIMA,2001-09-25 03:00:00,20.6,121.9,178,78.0,965.0,115.0,115.0,75.0,90.0,15.0,4
2001264N21126,LEKIMA,2001-09-25 06:00:00,20.8,121.9,160,80.0,963.0,110.0,110.0,60.0,60.0,15.0,4
2001264N21126,LEKIMA,2001-09-25 09:00:00,20.9,121.9,152,85.0,959.0,85.0,98.0,60.0,88.0,15.0,4
2001264N21126,LEKIMA,2001-09-25 12:00:00,21.1,121.8,129,90.0,954.0,60.0,85.0,60.0,115.0,15.0,4
2001264N21126,LEKIMA,2001-09-25 15:00:00,21.2,121.7,113,90.0,954.0,60.0,85.0,60.0,115.0,18.0,4
2001264N21126,LEKIMA,2001-09-25 18:00:00,21.4,121.6,91,90.0,954.0,60.0,85.0,60.0,115.0,20.0,4
2001264N21126,LEKIMA,2001-09-25 21:00:00,21.5,121.5,76,93.0,952.0,85.0,98.0,90.0,108.0,18.0,4
2001264N21126,LEKIMA,2001-09-26 00:00:00,21.6,121.4,61,95.0,949.0,110.0,110.0,120.0,100.0,15.0,4
2001264N21126,LEKIMA,2001-09-26 03:00:00,21.9,121.3,41,93.0,952.0,110.0,110.0,120.0,105.0,18.0,4
2001264N21126,LEKIMA,2001-09-26 06:00:00,22.1,121.2,30,90.0,954.0,110.0,110.0,120.0,110.0,20.0,4
2001264N21126,LEKIMA,2001-09-26 09:00:00,22.3,121.1,20,78.0,965.0,85.0,85.0,120.0,115.0,20.0,4
2001264N21126,LEKIMA,2001-09-26 12:00:00,22.5,120.9,0,65.0,976.0,60.0,60.0,120.0,120.0,20.0,4
2001264N21126,LEKIMA,2001-09-26 15:00:00,22.8,120.8,0,58.0,982.0,60.0,60.0,120.0,120.0,20.0,4
2001264N21126,LEKIMA,2001-09-26 18:00:00,23.0,120.8,0,50.0,987.0,60.0,60.0,120.0,120.0,20.0,3
2001264N21126,LEKIMA,2001-09-26 21:00:00,23.2,120.7,0,48.0,989.0,,,,,,3
2001264N21126,LEKIMA,2001-09-27 00:00:00,23.3,120.7,0,45.0,991.0,,,,,,3
2001264N21126,LEKIMA,2001-09-27 03:00:00,23.5,120.7,0,45.0,991.0,,,,,,3
2001264N21126,LEKIMA,2001-09-27 06:00:00,23.6,120.7,0,45.0,991.0,60.0,60.0,120.0,120.0,20.0,2
2001264N21126,LEKIMA,2001-09-27 09:00:00,23.7,120.6,0,43.0,993.0,60.0,60.0,120.0,120.0,20.0,2
2001264N21126,LEKIMA,2001-09-27 12:00:00,23.8,120.6,0,40.0,994.0,60.0,60.0,120.0,120.0,20.0,2
2001264N21126,LEKIMA,2001-09-27 15:00:00,23.8,120.5,0,35.0,997.0,30.0,30.0,60.0,60.0,20.0,2
